job_id,job_title,category,location,experience_years,required_skills,num_skills,salary_lpa,shortlisted
1,Full Stack Engineer,Full Stack,Ahmedabad,11.4,"Python, Django, SQL, Node.js",4,23.05,1
2,DevOps Engineer,DevOps,Ahmedabad,7.4,"Django, Java, MongoDB",3,18.38,0
3,Data Science Engineer,Data Science,Pune,11.6,"Docker, TensorFlow, Python",3,24.94,1
4,Full Stack Engineer,Full Stack,Mumbai,3.7,"Python, React, TensorFlow, Docker, Express, Django, Pandas",7,15.37,1
5,Full Stack Engineer,Full Stack,Ahmedabad,0.5,"Java, React, SQL, Python, Docker, Pandas",6,9.53,1
6,Frontend Development Engineer,Frontend Development,Mumbai,2.4,"Java, AWS, TensorFlow, SQL",4,12.49,0
7,Frontend Development Engineer,Frontend Development,Hyderabad,6.7,"TensorFlow, Node.js, Express, AWS",4,16.44,0
8,Full Stack Engineer,Full Stack,Ahmedabad,6.8,"Python, TensorFlow, Express, Django, SQL",5,17.42,1
9,Full Stack Engineer,Full Stack,Mumbai,9.6,"Django, React, TensorFlow, MongoDB, Express",5,20.67,1
10,Frontend Development Engineer,Frontend Development,Bengaluru,5.0,"Express, Django, MongoDB, Node.js, Java, SQL",6,13.63,0
11,Backend Development Engineer,Backend Development,Pune,8.5,"Pandas, React, Express, SQL, MongoDB, Node.js",6,20.96,1
12,Backend Development Engineer,Backend Development,Pune,11.8,"Express, React, AWS, Django, Node.js",5,25.11,1
13,Data Science Engineer,Data Science,Bengaluru,3.8,"Python, TensorFlow, SQL, MongoDB, AWS, Pandas, Express",7,15.36,1
14,Backend Development Engineer,Backend Development,Hyderabad,10.1,"Python, MongoDB, Node.js, React",4,21.75,1
15,Data Science Engineer,Data Science,Mumbai,2.9,"Express, Django, AWS, Node.js, SQL, React, TensorFlow",7,16.5,1
16,Frontend Development Engineer,Frontend Development,Mumbai,11.2,"MongoDB, Django, AWS, Pandas, Express",5,25.36,1
17,DevOps Engineer,DevOps,Remote,2.7,"SQL, Django",2,15.72,0
18,DevOps Engineer,DevOps,Pune,5.8,"React, Java, SQL, TensorFlow",4,19.36,0
19,Data Science Engineer,Data Science,Bengaluru,11.9,"Docker, Django, Node.js, AWS, Pandas, Python, TensorFlow",7,26.94,1
20,Data Science Engineer,Data Science,Hyderabad,3.8,"Python, MongoDB, Node.js",3,16.46,0
21,Data Science Engineer,Data Science,Remote,8.4,"SQL, Docker, Express, TensorFlow, Node.js, MongoDB",6,23.18,1
22,Full Stack Engineer,Full Stack,Mumbai,10.6,"AWS, TensorFlow, Node.js, Express, MongoDB",5,23.81,1
23,DevOps Engineer,DevOps,Remote,6.3,"TensorFlow, Django, Python, AWS, React, Express",6,16.63,0
24,Backend Development Engineer,Backend Development,Hyderabad,0.9,"TensorFlow, React, SQL, Java, Django, Python",6,10.09,0
25,Data Science Engineer,Data Science,Mumbai,7.9,"TensorFlow, Java, Express, Django, Node.js, React",6,22.34,1
26,Full Stack Engineer,Full Stack,,0.2,"React, Express, AWS",3,8.77,0
27,Backend Development Engineer,Backend Development,Remote,11.2,"Docker, SQL",2,24.74,0
28,Data Science Engineer,Data Science,Mumbai,9.7,"SQL, Pandas, Java, Express",4,22.48,1
29,DevOps Engineer,DevOps,Remote,10.1,"SQL, TensorFlow, Docker",3,23.0,1
30,Full Stack Engineer,Full Stack,Ahmedabad,2.1,"MongoDB, SQL",2,,0
31,Data Science Engineer,Data Science,Pune,2.9,"Django, Pandas, AWS, Docker, TensorFlow, React, MongoDB",7,15.16,1
32,Full Stack Engineer,Full Stack,Ahmedabad,6.9,"Django, SQL, Python, TensorFlow, Pandas, AWS",6,19.36,1
33,Frontend Development Engineer,Frontend Development,,1.4,"React, Java, Django, Node.js, TensorFlow",5,7.45,0
34,DevOps Engineer,DevOps,Pune,4.4,"MongoDB, Docker, Django, Java, React",5,14.53,0
35,Frontend Development Engineer,Frontend Development,Mumbai,3.0,"Docker, Django, Express",3,10.28,0
36,Data Science Engineer,Data Science,Pune,10.4,"Pandas, Django, Python, Node.js, React, Express, Docker",7,24.61,1
37,Data Science Engineer,Data Science,Mumbai,2.6,"AWS, Java",2,16.46,0
38,Backend Development Engineer,Backend Development,Remote,2.3,"Docker, SQL, Pandas",3,8.92,0
39,DevOps Engineer,DevOps,Pune,10.9,"TensorFlow, AWS, Express, Node.js, Java, Docker",6,26.34,1
40,Data Science Engineer,Data Science,Remote,4.5,"Node.js, TensorFlow, Docker",3,16.06,1
41,DevOps Engineer,DevOps,Remote,8.7,"Django, Node.js, Express",3,21.58,0
42,Backend Development Engineer,Backend Development,Ahmedabad,4.3,"MongoDB, Pandas, Express",3,12.95,1
43,DevOps Engineer,DevOps,Pune,7.4,"Python, Java, AWS",3,19.2,0
44,Data Science Engineer,Data Science,Bengaluru,6.2,"Docker, Java, Express, SQL, Django",5,18.64,0
45,Backend Development Engineer,Backend Development,Pune,7.4,"Django, SQL, Python",3,18.52,0
46,DevOps Engineer,DevOps,Hyderabad,2.3,"Node.js, React, AWS, Pandas",4,12.03,0
47,Frontend Development Engineer,Frontend Development,Mumbai,0.5,"Pandas, AWS",2,8.6,0
48,Backend Development Engineer,Backend Development,Hyderabad,9.0,"Node.js, Django, Python, MongoDB, Java, SQL, Express",7,19.75,0
49,Data Science Engineer,Data Science,Remote,8.8,"TensorFlow, React, MongoDB, Java, Node.js",5,19.17,1
50,Data Science Engineer,Data Science,Remote,6.0,"Java, MongoDB, Pandas, Express, Docker",5,20.19,1
51,Frontend Development Engineer,Frontend Development,Mumbai,11.8,"Docker, TensorFlow, React, Django, Node.js, Pandas",6,24.94,1
52,Data Science Engineer,Data Science,Mumbai,5.9,"SQL, Pandas, Docker, Python, Node.js, MongoDB, Java",7,18.11,1
53,Full Stack Engineer,Full Stack,Hyderabad,2.9,"TensorFlow, Docker",2,15.07,1
54,Backend Development Engineer,Backend Development,Ahmedabad,3.9,"Java, Pandas, AWS",3,13.83,0
55,Data Science Engineer,Data Science,Mumbai,2.5,"AWS, Express, Django, Pandas",4,13.19,1
56,Frontend Development Engineer,Frontend Development,Bengaluru,8.0,"MongoDB, Java, TensorFlow",3,18.09,0
57,Backend Development Engineer,Backend Development,Ahmedabad,6.5,"MongoDB, Python, Express, Node.js",4,19.61,0
58,Frontend Development Engineer,Frontend Development,Hyderabad,9.5,"Java, React, TensorFlow, AWS, Django, Node.js, SQL",7,22.71,1
